C201,25,5,3,3,Optimal,351.84 ,351.86 ,0.00 ,13.04 ,8150,1
C202,25,5,3,3,Feasible,270.24 ,300.20 ,9.98 ,7200.05 ,1417384,0
C203,25,5,3,3,Feasible,233.91 ,303.21 ,22.86 ,7200.03 ,1056393,1
C204,25,5,3,3,Feasible,212.91 ,309.93 ,31.30 ,7200.02 ,1541757,0
C205,25,5,3,3,Optimal,331.17 ,331.19 ,0.00 ,2529.45 ,819407,3
C206,25,5,3,3,Feasible,294.85 ,323.23 ,8.78 ,7200.04 ,2040214,8
C207,25,5,3,3,Feasible,280.58 ,326.93 ,14.18 ,7200.04 ,1653136,0
C208,25,5,3,3,Feasible,251.38 ,300.07 ,16.23 ,7200.06 ,1433863,0
R201,25,5,3,3,Optimal,540.93 ,540.96 ,0.00 ,598.09 ,136987,233
R202,25,5,3,3,Feasible,436.05 ,462.45 ,5.71 ,7200.07 ,825289,429
R203,25,5,3,3,Feasible,382.22 ,443.54 ,13.83 ,7200.05 ,777185,35
R204,25,5,3,3,Optimal,371.16 ,371.18 ,0.00 ,4249.94 ,387644,1
R205,25,5,3,3,Optimal,429.51 ,429.53 ,0.00 ,2016.23 ,444758,67
R206,25,5,3,3,Feasible,388.66 ,398.26 ,2.41 ,7200.05 ,758789,10
R207,25,5,3,3,Feasible,360.16 ,388.97 ,7.41 ,7200.06 ,907030,10
R208,25,5,3,3,Feasible,342.64 ,365.97 ,6.38 ,7200.07 ,1183021,357
R209,25,5,3,3,Optimal,382.60 ,382.62 ,0.00 ,565.56 ,63154,141
R210,25,5,3,3,Feasible,421.14 ,437.10 ,3.65 ,7200.06 ,607277,8
R211,25,5,3,3,Optimal,346.76 ,346.78 ,0.00 ,6214.74 ,652320,8
RC201,25,5,3,3,Optimal,516.71 ,516.74 ,0.00 ,5204.66 ,1111807,205
RC202,25,5,3,3,Feasible,375.92 ,432.43 ,13.07 ,7200.06 ,753746,5
RC203,25,5,3,3,Feasible,259.55 ,418.60 ,38.00 ,7200.08 ,844157,52
RC204,25,5,3,3,Feasible,254.21 ,389.80 ,34.78 ,7200.05 ,823268,329
RC205,25,5,3,3,Feasible,399.34 ,439.62 ,9.16 ,7200.05 ,758380,1109
RC206,25,5,3,3,Feasible,347.85 ,448.40 ,22.42 ,7200.09 ,1141929,102
RC207,25,5,3,3,Feasible,258.57 ,304.27 ,15.02 ,7200.10 ,741601,21
RC208,25,5,3,3,Feasible,232.25 ,269.57 ,13.84 ,7200.11 ,966047,84
