C201,15,11,2,2,Optimal,211.75 ,211.75 ,0.00 ,0.22 ,4
C202,15,11,2,2,Optimal,203.07 ,203.07 ,0.00 ,157.64 ,56801
C203,15,11,2,2,Optimal,203.07 ,203.07 ,0.00 ,397.93 ,128321
C204,15,11,2,2,Optimal,188.67 ,188.68 ,0.00 ,270.84 ,71712
C205,15,11,2,2,Optimal,208.79 ,208.79 ,0.00 ,2.74 ,956
C206,15,11,2,2,Optimal,208.79 ,208.79 ,0.00 ,4.81 ,3070
C207,15,11,2,2,Optimal,204.84 ,204.85 ,0.00 ,14.36 ,6081
C208,15,11,2,2,Optimal,203.07 ,203.07 ,0.00 ,18.86 ,8348
R201,15,11,2,2,Optimal,341.01 ,341.03 ,0.00 ,15.60 ,12181
R202,15,11,2,2,Optimal,297.51 ,297.52 ,0.00 ,259.77 ,61533
R203,15,11,2,2,Optimal,297.52 ,297.52 ,0.00 ,412.72 ,125655
R204,15,11,2,2,Optimal,266.58 ,266.59 ,0.00 ,72.54 ,18379
R205,15,11,2,2,Optimal,278.08 ,278.08 ,0.00 ,7.44 ,2241
R206,15,11,2,2,Optimal,248.91 ,248.91 ,0.00 ,26.69 ,11097
R207,15,11,2,2,Optimal,248.91 ,248.91 ,0.00 ,40.83 ,11377
R208,15,11,2,2,Optimal,238.23 ,238.23 ,0.00 ,18.18 ,4688
R209,15,11,2,2,Optimal,263.48 ,263.48 ,0.00 ,7.36 ,1252
R210,15,11,2,2,Optimal,292.15 ,292.15 ,0.00 ,73.11 ,32451
R211,15,11,2,2,Optimal,256.66 ,256.66 ,0.00 ,123.18 ,37640
RC201,15,11,2,2,Optimal,288.83 ,288.84 ,0.00 ,31.65 ,24001
RC202,15,11,2,2,Feasible,211.39 ,235.37 ,10.19 ,7200.06 ,1260903
RC203,15,11,2,2,Feasible,181.58 ,198.64 ,8.59 ,7200.04 ,937001
RC204,15,11,2,2,Feasible,176.30 ,192.18 ,8.26 ,7200.05 ,1171698
RC205,15,11,2,2,Optimal,200.76 ,200.76 ,0.00 ,6.55 ,1784
RC206,15,11,2,2,Optimal,204.21 ,204.22 ,0.00 ,4.51 ,2002
RC207,15,11,2,2,Optimal,189.05 ,189.06 ,0.00 ,6671.13 ,1476579
RC208,15,11,2,2,Optimal,158.52 ,158.53 ,0.00 ,4630.70 ,823949
